,별점,내용,작성일,공감,비공감
4774,8,감독님..앞으로 더 잘되시길. 중딩 아이들과 재밌게 봤습니다.^^,2020.10.26,1,2
4775,7,관람했습니다^^걱정했던 피해망상은 없었고캐릭터들 좋았고 90년대 직장 시대상을 보면서 새롭게 재미있었고판타지에 가까운 전개가 아쉽고롯데맛에 소름돋아 뛰쳐나올뻔헀지만 참았음 나름 갠춘!,2020.10.26,1,2
4776,10,,2020.10.26,1,2
4777,10,너무 재밌게 봐서 또 보고 싶을 정도...ㅜㅜ,2020.10.26,1,2
4778,10,주연배우들이 낮설어서 별 기대없이 본 영화인데 뭉클함도 있고 재밌게 봤네요 추천합니다!,2020.10.26,1,2
4779,8,"영화 재미었어용 ㅋㅋㅋㅋ90년대 싱크로율, 노래도 좋고 영화가 전달하고자하는메세지가 좋네요 캐릭터들도 매력있고 좋아요",2020.10.26,1,2
4780,8,람보야  어디갓다왓니♡,2020.10.25,1,2
4781,10,사이다 100만개 마신기분 속이 뻥뚫리고 넘 꿀잼 최고에요!!!!,2020.10.25,1,2
4782,10,요즘 볼 영화 없어서 그랬는데 이 영화는 진짜 꼭 한 번 봤으면 좋겠어요ㅠㅠ완전 스토리도 재밌고 환경문제도 함께 다뤄줘서 더 좋았던거 같아요!,2020.10.25,1,2
4783,10,영상미도 좋고 배우들 연기가 돋보이는 여운이 남는 영화,2020.10.25,1,2
4784,10,너무 좋아 ㅜㅜㅜ 다해먹어라,2020.10.25,1,2
4785,10,재밌어요~~~ 가볍게보기좋아요 굿굿,2020.10.25,1,2
4786,10,와 진짜 너무 재밌어요 솔직히 지루할 줄 일았는 데 진짜 돈 아깝지 않습니다 너무 재밌어요 꼭 한 번은 봐야하는 영화,2020.10.25,1,2
4787,10,정말 좋았어요. 마지막에 나오던 대사가 정말로 와닿았어요ㅠㅠ 스토리 자체도 감동.. 그 시절이나 지금이나 비슷한 것 같고 지금의 제 사회생활이 대입되면서 공감이 되더라구요. 본 사람들이 다 재밌다고 좋았다고 그랬는데...,2020.10.25,1,2
4788,10,솔직히 이영화 기대 안했는데 ㄹㅇ 개꿀잼 ㄷㄷ,2020.10.25,1,2
4789,10,스토리가 너무 좋았어요. 사이다 같은 씬도 있구... 명대사도 있곸ㅋㅋㅋ 이 영화 보고 엄마도 재미있다고 하셨어요,2020.10.25,1,2
4790,10,최근 영화 중에서 최고 재밌었음,2020.10.25,1,2
4791,10,언니들 연기 짱^^ 짜임새있는 스토리~!,2020.10.25,1,2
4792,10,중간중간 감동적인 부분들이 너무 좋았음,2020.10.25,1,2
4793,10,너무 재밌고 좋아서 소름이 돋았어요..♡,2020.10.25,1,2
4794,10,오락+경제+휴머니즘+감동까지 최근 몇년동안 본 영화중에 최고의 영화! 세번까지는 거뜬히 다시보고싶은 영화!!!,2020.10.25,1,2
4795,10,존잼이에요 고아성님 넘귀여움,2020.10.25,1,2
4796,10,"재미와 감동, 나름의 스릴러(?)까지 있어요!!ㅠㅠ 배경이나 입고나오는 패션보는 재미까지 있어요~",2020.10.25,1,2
4797,10,넘 재밌어요  엄청엄청엄청,2020.10.25,1,2
4798,10,진짜 최고다 진짜 재밌다!!!,2020.10.25,1,2
4799,10,배우들 연기가 맛깔남. 맘편히 영화 한편 보고싶을때 이 영화를 추천합니다.,2020.10.25,1,2
4800,10,실무자들을 위한 웃기고 따뜻한 위로,2020.10.25,1,2
4801,10,진짜 생각보다 너무 존잼인데..?,2020.10.25,1,2
4802,10,근3년간본영화중에 최고!! 마음이따뜻해지는영화입니다,2020.10.25,1,2
4803,10,그냥 무조건 보세요!! 2020년 최고의 영화!!,2020.10.25,1,2
4804,10,오랜만에 보고 왔는데 진짜 재밌었다배우들 연기도 너무 멋지고 보는 내내 너무 시원했음 진짜 잘본거 같다,2020.10.25,1,2
4805,10,영화 처음부터 끝까지 이솜 존예,2020.10.25,1,2
4806,10,너무 재밌는 영화였어요ㅠㅠ 진짜 이런영화 앞으로도 많이 기대하겠습니다!!!,2020.10.25,1,2
4807,10,재미있어서 한번 더 볼 예정 임이다 :),2020.10.25,1,2
4808,10,최고에요 너무 재밌고 즐거웠어요!!!,2020.10.25,1,2
4809,10,아무 생각없이 딸이랑 같이 가서 봤는데!!재밌고 슬프고 통쾌하고 진짜 올해 최고의 영화!!돈이 하나도 안아까움!!! 딸과 함께 다 보고 나오면서 또 보자고 하고 나왔네요^^ 설명보단 직접보면 뭔지 가슴이 찡~~~ 대...,2020.10.25,1,2
4810,9,처음부터 이렇게 재미와 감동을 다 잡은 영화는 요 근래 들어 처음같아요!!!세 여자 배우들 진짜 멋있고 연기 잘하고 다 했어요!!,2020.10.25,1,2
4811,10,다들 연기 잘하시네요... 스토리도 통쾌하고 억지 감동도 없고 재밌었음 박혜수 배우님 넘 귀여우심,2020.10.25,1,2
4812,10,2020년 영화중 가장 재밋었고 폐미묻은 영화 절대아님!!,2020.10.25,1,2
4813,10,울고 웃고 극장내 분위기 코로나 이후 최곤데요 주조연 연기와 합도 최고네요 살짝 올드한 연출도 90년대 감성으로 퉁~,2020.10.25,1,2
4814,10,너무유쾌하고 재밌게 봤어요,2020.10.25,1,2
4815,9,방금 재미있게 보고 왔어요,2020.10.25,1,2
4816,10,직장인이라면 핵공감하는영화. 회사 잘되는거가 다가아니라는 큰깨달음을 받았네요,2020.10.25,1,2
4817,9,"최근 1년간 영화들이 쓰레기였는데, 그나마 볼만하기에 인기가 있는 영화입니다.하지만, 소품과 스타일은 90년대인데 그 외의 것들은 다 2020년이네요..특히 지하철역이...95년대가 전혀 아니예요..그게 아쉽습니다....",2020.10.25,1,2
4818,10,진짜 이번년도에서 제일 재밌고 집중해서 봤던 영화박혜수 너무 귀엽고 고아성 연기미쳤고 이솜 멋지고,2020.10.25,1,2
4819,10,킬링타임용 영화라는 리뷰보고 기대를 안하고 봐서 그런가 너무 재밌었음 이솜 고아성 박혜수 너무 좋고ㅠ 나오는 배우들 모두 매력있어서 110분 순삭되는 느낌,2020.10.25,1,2
4820,10,기대안하고 봤는데 너무 재미있었습니다.한국영화 수준이 너무 높아졌습니다,2020.10.25,1,2
4821,10,내용도 흥미진진하고 현실 반영도 있으면서 꿈과 희망을 주네요. 중간 중간 감정이입이 돼서 화도 나고 공감도 많이 됐습니다 큰 일은 역시 여자가 한다!! 영화 대박입니다!,2020.10.25,1,2
4822,10,배우들 연기랑 스토리 다 너무 좋았고 진짜 러닝타임 내내 지루하지 않고 잘 봤음 그리고 덕분에 고아성 입덕함 고아성 나 책임져 ㅠㅠ,2020.10.25,1,2
4823,10,음 재미없을 마케팅 포스터 그리고 제목왠걸 뜻밖에 즐거운 시간이였다 찐잼,2020.10.25,1,2
4824,10,진짜 기대안하고 가벼운 마음으로 오랜만에 영화본건데 너무 즐겁게 잘봤어요ㅠㅠ근래들어서 가장 재밌게 본 영화 ㅠㅠ 엄마랑 또 보러가려구요!:),2020.10.25,1,2
4825,10,진짜 너무 재밌고 좋았습니다’,2020.10.25,1,2
4826,10,최근에 본 영화중에 제일 재밌게봤어요,2020.10.25,1,2
4827,10,뭉클하고 벅찬 감동배우들 너무 매력넘쳐요,2020.10.25,1,2
4828,10,너무 재미있게 봤어요,2020.10.25,1,2
4829,10,"팝콘 대신 꽈배기, 콜라 대신 믹스커피를 들고 봐야 될 것 같은 영화! 세 캐릭터들의 특색을 너무 잘 살렸다. 보는 내내 웃으며 본 영화!! 고아성 배우님의 연기가 점점 기대된다.",2020.10.25,1,2
4830,1,배급사가 역시나 투자의 놀부 롯데구나,2020.10.24,1,2
4831,2,,2020.10.24,1,2
4832,4,평점믿고봤다가 또 당했다 ....  그냥 그저그런 수준의 영화,2020.10.24,1,2
4833,10,사회 부조리를 보여주는 영화,2020.10.24,1,2
4834,10,"시사회 때 보고 재밌어서 또 보러 가려고요고아성x이솜x박혜수 조합 최고,,",2020.10.24,1,2
4835,10,간만에 재밌게 본 영화네요,2020.10.24,1,2
4836,10,너무 너무 사랑스러운 배우들 덕분에 오랜만에 좋은 영화 봤어요 추천합니다!!,2020.10.24,1,2
4837,10,,2020.10.24,1,2
4838,10,올해 본 영화 중에  최고의 영화,2020.10.24,1,2
4839,10,,2020.10.24,1,2
4840,10,오랜만에 재밌는 영화네요. 세 분 호흡 잘 맞고 귀여워요. 조연들도 연기 넘 잘하심,2020.10.24,1,2
4841,10,심장 쫄깃한 영화 너무 재밌었어요!!!!,2020.10.24,1,2
4842,10,,2020.10.24,1,2
4843,10,"화나지만, 웃으면서 볼 수 있는 좋은 영화",2020.10.24,1,2
4844,10,,2020.10.24,1,2
4845,10,"세 배우의 관계성이 잘 살아있어서 좋았고, 깔끔한 내용이 좋았습니다!! 셋 모두 1990년대의 어딘가에 잘 살아있을 것만 같아요. 시원한 가을에 좋은 영화 한 편 잘 봤습니다 감사합니다.",2020.10.24,1,2
4846,10,2020년 개봉 영화중엔 가장 베스트!!!,2020.10.24,1,2
4847,10,,2020.10.24,1,2
4848,10,살면서 본 한국영화 중에 단연 최고,2020.10.24,1,2
4849,10,,2020.10.23,1,2
4850,10,"처음에는 영화 평점이 유독 높은게여성들이 주인공이어서 페미 영향이 있지않나생각했었는데 영화 관람하면서 느낀건좋은 스토리, 영화를 뻔하게 만들어주지않는 매끄러운 카메라 연출력, 그리고 그때 그시절 을지로에 서있는듯한 ...",2020.10.23,1,2
4851,10,삼성전자를 전신으로 삼았지만 여직원 코스튬은 코오롱이 입혀놓고 똥은 질대로 싼 두산에게 이 영화로 엿맥이는 롯데그룹 큰그림 오졌고,2020.10.23,1,2
4852,10,연기 진짜 최고 이솜 이런역 너무잘어울려,2020.10.23,1,2
4853,8,솔직히 큰 기대없이 이솜배우 보러간거였는데 무거운이야기를 가볍고 재치있게 잘 풀어나갔네요 실화였다는건 또 처음알았네요. 나름 재미도있고 유머도있고 깔끔하니 좋은 영화였습니다.,2020.10.23,1,2
4854,2,진짜 ㅈㅇㄴ 재비없다 쓸디없이 욕이나하고 뭐냐 삼류 영화임 그냥 와 개저옷나 노잼,2020.10.23,1,2
4855,10,한번더보고싶다 ㅎㅎ이솜연기 꿀잼 내용도 탄탄하고 배우들 착장이나 메이크업 보는재미도 있었고 너무재밌었음,2020.10.23,1,2
4856,10,알바들인가요 아니면 진짜 재밋는건가요 ?? 영화평점도 티켓 증빙으로 남길수 있으면 참 좋을텐데요 ... ㄷㄷ,2020.10.23,1,2
4857,10,오랜만에 좋은영화가 나온것같아요조금 슬픈건 25년전 그녀들의 모습에서 지금의 내모습을 발견할수있었다는것중소기업은 하나도 번한게없네요,2020.10.23,1,2
4858,7,너무 말이 안되지만 배우들의 연기력과 호흡으로 잘 만들어낸것 같다.  편하게 시청~!!,2020.10.23,1,2
4859,10,,2020.10.23,1,2
4860,10,,2020.10.23,1,2
4861,10,쫀잼!! 이 영화를 보고 어제보다 오늘 더 성장했습니다,2020.10.23,1,2
4862,10,,2020.10.23,1,2
4863,10,,2020.10.23,1,2
4864,10,하.. 평점보고 믿고 봤는데.. 대박이네.. 올해 영화중에 최고~!!,2020.10.23,1,2
4865,10,,2020.10.23,1,2
4866,10,정의구현을 위해 이 한몸 바치고  싶은 맘이 생기게 하는 영화,2020.10.23,1,2
4867,8,금보야~ㅋㅋㅋㅋ재밌게봤어요~,2020.10.23,1,2
4868,10,,2020.10.23,1,2
4869,10,,2020.10.23,1,2
4870,10,,2020.10.23,1,2
4871,10,와..진짜 재밌고 교훈이라던가 시사하는바도 큰것같아서 다들 꼭 보셨으면 좋겠어요,2020.10.23,1,2
4872,8,기대안하고 봣는ㄷㅔ 너무 재미있었다 사회부조리까지 다루고 완전 레트로감성 최고,2020.10.23,1,2
4873,10,옛날 생각 많이 나네요. 아주 재미있게 보았습니다.,2020.10.23,1,2
4874,8,영화주제도 신선하고 여자주인공끼리의 케미도 좋았어요. 보면서 중간중간 울컥했네요.,2020.10.23,1,2
4875,10,주인공 세명이 너무 귀여워요,2020.10.23,1,2
4876,10,기분 좋아지는 영화 입니다,2020.10.23,1,2
4877,7,"익숙한 클리셰가 보이긴 하지만, 영화 자체의 완성도는 나쁘지 않았다.",2020.10.23,1,2
4878,10,기대안하고 봤다가 올해 가장 괜찮은 영화 1위,2020.10.23,1,2
4879,10,재밌게보며 들었던 생각이 연기력.스토리.눈빛연기 모든것이 갖춰졌다.고아성은 지금의 연기력과 눈빛연기이면 악역도 충분히 해낼수있다.라는 가짐을 갖고 봤다는.ㅎㅎ,2020.10.23,1,2
4880,10,"출연 배우가 많은 편임에도 단역들 한명한명 역할을 살려주었고, 전체적인 내용이나 연출이 한국영화같지 않았다. 2020년 본 영화 중 최고! 알바 아니에용 다들보세요!",2020.10.22,1,2
4881,10,아...진짜 인생 영화...내 인생을 바꿔놓음..,2020.10.22,1,2
4882,10,기대 전혀 안하고 봤는데 되게 뜻깊고 재밌는 영화였어요 진짜 꼭 보세요 !,2020.10.22,1,2
4883,10,배우들의 열연~~ 난 이솜이 가장 인상깊더라^^,2020.10.22,1,2
4884,10,재밌게 봤어요 전 즐거웠어요,2020.10.22,1,2
4885,10,다양한 매력포인트가 느껴지능 영화,2020.10.22,1,2
4886,10,지루할틈 없이 재밌게 봤어요,2020.10.22,1,2
4887,10,유쾌함이 돋보이는 영화에요,2020.10.22,1,2
4888,10,연기 잘하는 배우들과 뻔하지만 뻔하지않게 연출한 스토리 재미지다!!!,2020.10.22,1,2
4889,10,올해 제일 재밌는 영화입니다 꼭 보세요,2020.10.22,1,2
4890,10,각 캐릭터가 보여주는 매력이 확실하고 잊고 지내던 뭔가를 다시 떠올리게 해주는 힘이 있어요. 귀엽고 멋있고 다합니다,2020.10.22,1,2
4891,10,,2020.10.22,1,2
4892,10,스토리 연기 연출 다 좋았습니다~,2020.10.22,1,2
4893,10,울컥한 장면이 몇개인지ㅜㅜ여자가 다 해먹자,2020.10.22,1,2
4894,10,쌉숑%&*^이런 말 처음들어봐서 신기했어요서울사투리도 많이 나오고찐 90년대 갬성이 느껴졌어요 :),2020.10.22,1,2
4895,10,쌉숑%&*^이런 말 처음들어봐서 신기했어요서울사투리도 많이 나오고찐 90년대 갬성이 느껴졌어요 :),2020.10.22,1,2
4896,10,오랜만에 돈이 아깝지 않은 영화였습니다!,2020.10.22,1,2
4897,10,정말 오랜만에 만족한 한국영화스토리 탄탄!,2020.10.22,1,2
4898,10,,2020.10.22,1,2
4899,10,감동....ㅠㅠ90년대 그시절 부조리와 비리병폐를 부숴버린 여자들의이야기....그리고 희망이 생겼습니다. 이제 다시한번 여성들이 해낼때가 왔습니다.  남자만 2년동안 군대에서 군캉스로 꿀빠는 70년된 사회부조리와 비...,2020.10.22,1,2
4900,10,오랜만에 재밌는 한국영화 봤네요. 재밌었어요.,2020.10.22,1,2
4901,10,향수 추억과 기억....,2020.10.22,1,2
4902,10,Be ambitious!오랜만에 기분좋은 레트로 영화.,2020.10.22,1,2
4903,10,와 가족끼리 진짜 재밌게 보고 왔어요 ㅎㅎ어제의 너보다 오늘 더 성장했어!!,2020.10.22,1,2
4904,10,진짜 코로나만 아니였음 천만찍었다,2020.10.22,1,2
4905,10,,2020.10.22,1,2
4906,10,직장생활 힘이 나네요! 파이팅~!!,2020.10.22,1,2
4907,10,등장인물 모두 너무 귀엽고 간만에 재밌는 영화 본 것 같아 기분이 좋습니다:-),2020.10.22,1,2
4908,10,연기부터 스토리까지 다 집중해서봤어요 박해수연기 ㅋㅋㅋㅋ귣,2020.10.22,1,2
4909,10,무조건 흥행해야 합니다,2020.10.22,1,2
4910,10,자칫 뻔하게 흘러갈 수 있는 스토리를 통통 튀는 연출과 주인공 3인방의 매력으로 살려냈고 직장이 배경인 영화에서 감동을 느낄 줄은 몰랐음ㅋㅋㅋ,2020.10.22,1,2
4911,10,,2020.10.22,1,2
4912,10,유쾌하고 너무 재밌어요,2020.10.22,1,2
4913,10,너무재밌게봄 오랜만에 괜찮은영화 본듯 또보고싶어요,2020.10.22,1,2
4914,10,오랜만에 제대로 90년대를 구현했고 스토리가 긴장감넘쳐서 참좋았습니다,2020.10.22,1,2
4915,10,이런 영화 좀 많이 만들어주세요,2020.10.22,1,2
4916,10,시간 가는줄 모르고 봤음,2020.10.22,1,2
4917,10,반전의반전의반전 뻔하지않은 재미 ㅎ 너무 좋습니다,2020.10.22,1,2
4918,10,,2020.10.22,1,2
4919,10,옛 느낌의 의상들 인상적이었어요!이솜배우님 연기도 좋았습니다!이솜만세!,2020.10.22,1,2
4920,4,끝끝내 메시지의 발목을 잡는 연출과 각본,2020.10.22,1,2
4921,10,박혜수가 이렇게 귀여운지 몰랏음 ㅋㅋ인캐다 진짜,2020.10.22,1,2
4922,10,다양한 여성 캐릭터가 잘 묘사된 작품,2020.10.22,1,2
4923,5,하루 10분 영어 야나두 수강 신청 하세요~,2020.10.22,1,2
4924,10,,2020.10.22,1,2
4925,10,너무좋았어요 고아성최고,2020.10.22,1,2
4926,10,영화 ‘써니’ 의 계보를 잇는 수작추천 드립니다!,2020.10.22,1,2
4927,10,연기가 좋았어요. 재미있네요.,2020.10.22,1,2
4928,10,빠른 전개로 지루하지 않았어요 시간 후딱 가더라구요ㅎㅎ,2020.10.22,1,2
4929,10,기대한 만큼 듣던대로 존잼이더라,2020.10.22,1,2
4930,10,너무 재밌게 본 작품,2020.10.22,1,2
4931,10,이런 영화 많이 나왔으면 좋겠당ㅋㅋ 넘 재밌게 봤음!,2020.10.22,1,2
4932,10,재밌었다!! 소시민들이 대기업을 상대한다는 게 얼마나 용기가 필요한 일인지..,2020.10.22,1,2
4933,10,정의로운 세상을 꿈꾸게 되는! 보고 나면 내가 다 뿌듯해!,2020.10.22,1,2
4934,10,통쾌하고 재밌고 다하네ㅋㅋㅋ,2020.10.22,1,2
4935,10,"진짜 너무 재밌다 ㅠㅡㅠ 시간 가는 줄 모르고 봤다 ,,",2020.10.22,1,2
4936,4,"90년대로 추억여행간듯...사람,소품,배경등 시대전환이 놀라울정도로 디테일하다.  다소 진부한 스토리일수 있으나 연기력, 연출력이 돗보였다. 감동적이고 나는 어떻게 살고 있는지 자문하게 된다.",2020.10.22,1,2
4937,7,재밋긴함 근데 스토리가 좀 늘어짐 90분정도가 정당한듯,2020.10.22,1,2
4938,10,"레트로 감성에 푹 빠져 배우들, 여성들의 끈끈한 연대감이 너무 좋았습니다!!삼토반즈!!! 최고의 영화!!!",2020.10.22,1,2
4939,8,아재가 봐도 공감되는 여성 서사 + 레트로 감성 + 정의감 한 스푼 + 국뽕 반 스푼~~ 괜찮은 스토리에 재미도 있고 의미도 있는 영화였습니다.,2020.10.22,1,2
4940,10,어제의 나보다 오늘의 내가 성장하게 만드는 영화!왠지 영화를 다 보면 세상이 만든 틀을 깨고 내가 하고 싶은 일을 할 수 있을 것만 같은 영화!뻔하지 않아요! 지루하지 않아요! 1995년에 들어갔다 나온 것만 같은 ...,2020.10.22,1,2
4941,7,약간 페띵 코인을 탈려고 하는 느낌이나지만 시대상 반영에 의한 의도일수도 있고 의외로 구현이 잘된것 같은 느낌의 IMF이전의 상황을 잘보여줌 내용도 충실하고 연기도 충실했음 이런시기에도 불구하고 참 볼만했던 영화,2020.10.22,1,2
4942,8,웃음 가득한 90년대 보면 기분좋아지는 영화 간만에 굿,2020.10.22,1,2
4943,10,"연출이 정말 섬세해서 좋았어요 연기도 다들 잘하시고 감동적이었어요 이것저것 볼거리, 느낄거리가 많은 영화인것같아요",2020.10.22,1,2
4944,10,직장생활을 해 본 사람이라면 충분히 즐기고 공감할 보편적인 영화입니다. 강추.,2020.10.22,1,2
4945,6,,2020.10.22,1,2
4946,10,좋다. 위 얼 그레잇!!,2020.10.21,1,2
4947,10,여성들이 활약하고 남자는 조력자인 영화. 성별만 바뀌었는데 이렇게 신선하다니!,2020.10.21,1,2
4948,1,보고 나오면서 화가 치밀어오르는 영화이다. 영화 자체가 재미가 없다. 고아성 영어대사 칠때마다 내 손과 발은 오그라들때로 오그라들어버렸다...,2020.11.13,2,3
4949,1,평점에 속았네별로 재미없어요,2020.11.13,2,3
4950,1,제목에 낚이고 네이버평정에 두번 낚겨버리고ㅋ 온갖거 짬뽕드라마네요 평점이 관객의 수준을 말해주는듯. 돈주고보기 너무 아깝다.,2020.11.12,2,3
4951,10,,2020.11.11,2,3
4952,10,너무너무 재밌었습니당 ㅎㅎ,2020.11.11,2,3
4953,8,배우분들 연기가 좋았어요 케미도 너무 좋았구요. 스토리도 재밌네요ㅎㅎ,2020.11.11,2,3
4954,10,재밌고 감동적임~~ 또 보고싶다!,2020.11.11,2,3
4955,10,"실제 있었던 1990년대 초, 두산전자의 낙동강 페놀 유출 사건을 모티브로 하고 있고, 영화는 1995년 회사 내 고졸 말단 사원 3명이 회사 비리를 고발하는 과정에서 일어나는 일들을 그린다.(거기에 토익까지..) ...",2020.11.11,2,3
4956,7,간만에 영화관에서 본 영화~ 고아성 배우의 다음 작품도 기대합니다.,2020.11.10,2,3
4957,10,,2020.11.10,2,3
4958,10,전체적으로 주인공이신 여배우 세분께서 연기를 너무 잘하셔서 즐겁게 보았습니다 현실에서도 현재 많은 여성 직장인들이 받을 수 있는 느낄 수 있는 부조리함도 어느정도 보이는 것이 안타깝기도 했고... 과거형이 아닌 현재...,2020.11.09,2,3
4959,10,생각보다 재미있어서 시간가는줄 모르게 봤네요,2020.11.08,2,3
4960,2,7세이상이시면 개인적으로 안보는걸 추천 너무 오글거리고 어이없는 신파극 보면서 돈 만원이 너무아까웠음,2020.11.08,2,3
4961,1,보다 잠오더라 악플이 아니라 진심 뻔한 전개 그냥ocn에서 보면 될듯,2020.11.08,2,3
4962,1,두시간이 끔찍했다 한국영화의 퇴보다,2020.11.01,2,3
4963,1,페미영화네. 돈과 시간을 깔끔하게 날렸다.,2020.10.31,2,3
4964,10,,2020.10.29,2,3
4965,10,너무너무 재밌었습니다!!! 최고에욥,2020.10.29,2,3
4966,2,,2020.10.27,2,3
4967,10,다 완벽해요어너ㅜㅜ우우어어웅어넝ㅇㅇ,2020.10.27,2,3
4968,10,어쩜 이리 조연들까지 연기를 잘하는지~ 재밌어요.,2020.10.27,2,3
4969,10,넘 잼있게 봤어요. 반전에 반전을..ㅋ,2020.10.27,2,3
4970,10,마무리가 통쾌하고 속이 시원해지는 영화,2020.10.27,2,3
4971,10,90년대성장기우리사회의어두운면을재미잇게잘보벼쥣어요.,2020.10.26,2,3
4972,10,지루하지않고 너무 재밌어요,2020.10.26,2,3
4973,10,"편집도 잘된거같고 연출,스토리 다 지루한 부분 없이 좋았습니당",2020.10.26,2,3
4974,10,누군가 여성의 미래를 묻거든영화관에 가 삼진그룹 토익반을 보게 하라~~~~진짜 여성들이 다하고 멋진 영화!!!!특히 여성들 단체씬 잡히는 장면에서여러 감정들이 교차했다.앞으로 이런 영화들이 더더더 많이 나와서배우들의...,2020.10.26,2,3
4975,10,탄탄한 연출력과 각본이 두드러지는 영화입니다. 한 인물맘다 개성이 넘치며 차칫하면 지루하게 끌어갈 수 있는 부분도 신선하게 풀어간 영화입니다. 기분좋게 관람을 마칠 수 있었습니다. 배우들간의 연기의 합도 너무 좋았고...,2020.10.26,2,3
4976,10,"내용, 개연성 같은 거 개나 줘버린 때려부수고 뒤집어 자빠지는 영화엔 만점 주는 머리 빈 사람들이 유난~~~히 현실성이며 개연성 들먹이며 이런 영화에 평점 낮게 주는 건 뭐다? 싸이언스다~~~ 영화 내에선 페미니즘의...",2020.10.26,2,3
4977,9,비현실적이긴 하지만 희망가득한 스토리와 결말 대사가 와닿았습니다.위캔두잇.지금은 흔히 볼 수 없는 연대의 힘을 느낄 수 있었어요유쾌하고 오랜만에 즐거운 관람이었습니다.,2020.10.26,2,3
4978,10,"다양한 배우들의 수준 높은 연기와 좋은 연출 그리고 훌륭한 미술, 음악전부 너무 멋있다....하지만 그보다 더 멋있는건 삼토반을 보고 어제의 나보다 성장한 오늘의 나...*^*",2020.10.26,2,3
4979,10,올해봤던 한국영화중에 제일 재미있게봤고 기대이상이였습니다!,2020.10.26,2,3
4980,10,즐거움 간만에 즐건 영화~,2020.10.26,2,3
4981,10,뭐 자신이 영화평론가급으로 평가를 잘하거나 페미에 꽂혀산다면 보지마세요.괜히 재밌는영화에 똥칠하나...진심으로 영화 볼생각없었는데 그냥 영화관옆에있는 다이소에갔다가 심심해서 봤는데진짜 ㄹㅇ 재밌음 연기도 미쳤고 여러...,2020.10.26,2,3
4982,9,억지스러운 전개는 딱히 없었고 있어도 옛날 배경 감안하면 어느정도 용인 가능한 수준. 영화의 전반부~후반부를 이끌어나가는 조연이 다른 느낌. 전반부에는 왜 제목이 토익반이지? 이런 생각이 들었음. 속도감 있는 전개로...,2020.10.26,2,3
4983,10,아무것도 안하면 안돼요? 그럼 재미없잖아요즘 내 마음 파고드는 명대사,2020.10.26,2,3
4984,10,올해 본 영화 중에 최고!,2020.10.26,2,3
4985,10,여성들이 세상을 바꾼다,2020.10.25,2,3
4986,6,박혜수 귀여움. 뻔한 스토리. 뻔한 틀리셰. 뻔한 감동쥐어짜기. 뻔한 권선징악. 그냥 뻔한 스토리. 내돈주고는 안볼영화90년대 상고나온 여성을 위한 위로용 영화,2020.10.25,2,3
4987,3,,2020.10.24,2,3
4988,1,또 영혼보내기 그딴걸로 평점 올려놓은 아지매들 때문에 1점 남깁니다.어휴 진짜;; 페미는 사회악임을 절실히 느낌왤케 빼액 들 거리면서 사는지 원참,2020.10.24,2,3
4989,2,알바들 믿지 마셈. 개쌉소름 노잼영화. 왜 영어가 이영화에서 중간중간등장하는지도 모르겠고. 스토리도 개뜬금에 배우들 연기까지 3류급. 그나마 미생 김부장 나와서 힐링. 나머지 배우들 진심 하..,2020.10.24,2,3
4990,10,"이솜 배우 좋아해서 보게 된 영화예요. 배우들의 연기 호흡, ost 모두 완벽했어요 ㅠㅠ 으아 한번 더 보고싶다",2020.10.24,2,3
4991,10,서사가 정말 튼튼하고 재밌습니다! 신선하고 유쾌해요! 코로나 아니었음 천만 넘었을 거애요ㅠ,2020.10.24,2,3
4992,10,너무 재밌었다.여성중심영화라 좋았고폭력적이지 않아 좋았던 영화,2020.10.23,2,3
4993,8,ㄹㅇ잘만들엇다 재밋오,2020.10.23,2,3
4994,10,너무 무겁지도 너무 가볍지도 않은 영화모든 캐릭터가 개성있어서 좋았다,2020.10.23,2,3
4995,7,"매력있는 캐릭터들과 그들을 생생히 살아숨쉬게 하는 배우들의 명캐스팅, 명연기가 돋보이는 영화. 가볍지 않은 주제를 적절히 발랄하게 다뤘고, 과하게 자극적인 연출이 없다는 점이 제일 좋았다. 조연까지도 하나하나 다 기...",2020.10.23,2,3
4996,4,개노잼임 보지마세요 제발,2020.10.23,2,3
4997,10,주인공 세명 케미가 너무 좋음,2020.10.23,2,3
4998,10,90년대 고증이 잘 되어 있어 눈이 즐거웠음. 고아성 배우는 라온마에 이어서 정말 90년대 서울사람에 특화된 배우같음ㅎㅎ 옛날 사진에서 톡하고 튀어 나온듯함,2020.10.23,2,3
4999,10,참 재밌네요 페미니즘 영화인줄 예상하고 봤는데 아니었어요. 고아성씨 연기를 너무잘하네요김종수씨 연기도 기억에남고 뭔가 교훈이 있네요 굿,2020.10.23,2,3
5000,10,보고나서 기분 좋아지는 영화,2020.10.23,2,3
5001,10,세 주인공이 만들어낸 결과물! 용감한 그녀들에게 큰 박수를!,2020.10.23,2,3
5002,10,다들 연기 짱짱 ~ ^^ 삼진그룹 파이팅,2020.10.23,2,3
5003,10,꼭 보세요 추천합니다,2020.10.23,2,3
5004,10,영화 너무 재밌게 봤어용 이솜은 뭘입어도 마델이구ㅋㅋ 스탈 너무 찰떡이야,2020.10.23,2,3
5005,10,시간이 금방 가구 쉴 틈 없이 보게 됨ㅠ 최고!!!,2020.10.23,2,3
